english_sentence,isl_gloss
HOTS: 1.,HOTS
Two resistors when connected in parallel give the resultant resistance of 2 ohm; but when connected in series the effective resistance becomes 9 ohm.,RESISTANCE SERIES GIVE TWO RESISTORS CONNECT PARALLEL RESULTANT OHM EFFECTIVE BECOME PAST PRESENT
Calculate the value of each resistance. 2.,CALCULATE VALUE RESISTANCE
How many electrons are passing per second in a circuit in which there is a current of 5 A? 3.,ELECTRON 3 PASS MANY ELECTRONS SECOND CIRCUIT CURRENT PRESENT
A piece of wire of resistance 10 ohm is drawn out so that its length is increased to three times its original length.,LENGTH DRAW PIECE WIRE RESISTANCE OHM INCREASE THREE TIME ORIGINAL PAST
Calculate the new resistance.,CALCULATE NEW RESISTANCE
REFERENCE BOOKS 1.,REFERENCE BOOK
Electrodynamics by Griffiths 2.,ELECTRODYNAMICS GRIFFITHS
"Fundamentals of Electric Circuits by Charles Alexander INTERNET RESOURCES https://www.elprocus.com/basic-electrical- circuits-and-their-working-for-electrical- engineers/ https://www.physicsclassroom.com/calcpad/ circuits 10th_Science_Unit-4.indd 57 12/2/2022 5:04:08 PM 58 10 th Standard Science ICT CORNER Ohm’s Law Link URL:http://amrita.olabs.edu.in/?sub=1&brch=4&sim=99&cnt=4 Steps In this activity you will be able to (i) verify Ohm’s law (ii) understand the relation between current, voltage and resistance. • Open the browser and type “olabs.edu.in” in the address bar.",I BAR OPEN FUNDAMENTALS ELECTRIC CIRCUIT CHARLES ALEXANDER INTERNET RESOURCES WORK PM TH STANDARD SCIENCE ICT CORNER OHM LAW LINK URL STEP ACTIVITY ABLE VERIFY II UNDERSTAND RELATION CURRENT VOLTAGE RESISTANCE BROWSER TYPE ADDRESS PRESENT
Click physics tab and then click “Ohm’s law and resistance” under class 10 section.,CLICK PHYSICS TAB THEN OHM LAW RESISTANCE CLASS SECTION
Go to “simulator” tab to do the experiment. • Construct the electric circuit as per the connection diagram by clicking “show circuit diagram” tab.,GO SIMULATOR TAB EXPERIMENT CONSTRUCT ELECTRIC CIRCUIT CONNECTION DIAGRAM CLICK SHOW PAST
You can connect wires between electric component by dragging the mouse between the component. • Switch on the key and note down the voltage (V) and curren (I).,YOU VOLTAGE • CONNECT WIRE ELECTRIC COMPONENT DRAG MOUSE SWITCH KEY NOTE V CURREN I PAST
Find the value of resistance using the formula R = V I .,FIND VALUE RESISTANCE USE FORMULA R V
Repeat the experiment for different values of voltage and current.,REPEAT EXPERIMENT DIFFERENT VALUE VOLTAGE CURRENT
Check whether the resistance remains constant. • Find the value of Resistance/(length (in Cm)).,RESISTANCE CM FIND CHECK REMAIN CONSTANT VALUE PRESENT
Enter the value of resistance and resistance per unit length in the result.,ENTER VALUE RESISTANCE UNIT LENGTH RESULT
Verify the answer.,VERIFY ANSWER
Note: 1.,NOTE
One time sign up is needed to do simulation.,SIGN SIMULATION NEED ONE TIME PAST
Then login using that username and password. 2.,THEN LOGIN USE USERNAME PASSWORD
"Read theory, procedure and animation to get the theory by clicking the corresponding tab. 10th_Science_Unit-4.indd 58 12/2/2022 5:04:09 PM 59 Learning Objectives By the end of this section, the students will be able to: Understand how sound is produced and transmitted.",READ THEORY PROCEDURE ANIMATION GET CLICK CORRESPOND TAB PM LEARN OBJECTIVES END SECTION STUDENTS ABLE UNDERSTAND SOUND PRODUCE TRANSMIT PAST
"Relate the speed of sound, its frequency, and its wavelength.",RELATE SPEED SOUND FREQUENCY WAVELENGTH
Know the speed of sound in various media.,KNOW SPEED SOUND VARIOUS MEDIA
Explain the factors affecting the speed of sound in a gaseous medium.,EXPLAIN FACTOR AFFECT SPEED SOUND GASEOUS MEDIUM
Demonstrate the phenomenon of reflection of sound.,DEMONSTRATE PHENOMENON REFLECTION SOUND
Determine the speed of sound using the method of echo.,DETERMINE SPEED SOUND USE METHOD ECHO
Understand Doppler Effect.,UNDERSTAND DOPPLER EFFECT
Solve numerical problems related to the above topics.,SOLVE NUMERICAL PROBLEMS RELATE ABOVE TOPICS PAST
INTRODUCTION Sound plays a major role in our lives.,SOUND LIFE PLAY INTRODUCTION MAJOR ROLE LIVE PRESENT
We communicate with each other mainly through sound.,WE SOUND COMMUNICATE OTHER MAINLY PRESENT
"In our daily life, we hear a variety of sounds produced by different sources like humans, animals, vehicle horns, etc.",WE HUMAN HEAR DAILY LIFE VARIETY SOUND PRODUCE DIFFERENT SOURCE HUMANS ANIMALS VEHICLE HORN PRESENT PAST
"Hence, it becomes inevitable to understand how sound is produced, how it is propagated and how you hear the sound from various sources.",YOU SOURCE BECOME HENCE INEVITABLE UNDERSTAND SOUND PRODUCE PROPAGATE HEAR VARIOUS PRESENT PAST
It is sometimes misinterpreted that acoustics only deals with musical instruments and design of auditoria and concert halls.,ACOUSTIC AUDITORIA MISINTERPRET SOMETIMES ACOUSTICS ONLY DEAL MUSICAL INSTRUMENT DESIGN CONCERT HALLS OCCASIONAL PAST
"But, acoustics is a branch of physics that deals with production, transmission, reception, control, and effects of sound.",ACOUSTICS BRANCH PHYSICS DEAL PRODUCTION TRANSMISSION RECEPTION CONTROL EFFECT SOUND PRESENT
You have studied about propagation and properties of sound waves in IX standard.,YOU STANDARD STUDY PROPAGATION PROPERTIES SOUND WAVE IX PAST
"In this lesson we will study about reflection of sound waves, Echo and Doppler effect. 5.1 SOUND WAVES When you think about sound, the questions that arise in your minds are: How is sound produced?",SOUND MIND STUDY LESSON REFLECTION WAVE ECHO DOPPLER EFFECT THINK QUESTION ARISE PRODUCE PRESENT PAST WHEN
How does sound reach our ears from various sources?,SOUND SOURCE REACH EARS VARIOUS HOW
What is sound?,SOUND WHAT
Is it a force or energy?,FORCE ENERGY QUESTION
Let us answer all these questions.,WE QUESTION LET ANSWER
"By touching a ringing bell or a musical instrument while it is producing music, you can conclude that sound is produced by vibrations.",SOUND VIBRATION CONCLUDE TOUCH RING BELL MUSICAL INSTRUMENT PRODUCE MUSIC VIBRATIONS PAST
"The vibrating bodies produce energy in the form of waves, which are nothing but sound waves (Figure 5.1).",WHICH WAVE PRODUCE VIBRATE BODY ENERGY FORM SOUND FIGURE PRESENT NOT
Figure 5.1 Production of sound waves 60 10th Standard Science Suppose you and your friend are on the Moon.,YOU MOON FIGURE PRODUCTION SOUND WAVE STANDARD SCIENCE SUPPOSE FRIEND
Will you be able to hear any sound produced by your friend?,ABLE HEAR SOUND PRODUCE FRIEND PAST QUESTION
"As the Moon does not have air, you will not be able to hear any sound produced by your friend.",MOON AIR ABLE HEAR SOUND PRODUCE FRIEND PAST NOT
"Hence, you understand that the sound produced due to the vibration of different bodies needs a material medium like air, water, steel, etc, for its propagation.",SOUND PROPAGATION UNDERSTAND HENCE PRODUCE VIBRATION DIFFERENT BODY NEED MATERIAL MEDIUM AIR WATER STEEL PRESENT PAST
"Hence, sound can propagate through a gaseous medium or a liquid medium or a solid medium.",SOUND MEDIUM PROPAGATE HENCE GASEOUS LIQUID SOLID
ACTIVITY 1 Take a squeaky toy or old mobile phone and put it inside a plastic bag.,ACTIVITY BAG TAKE SQUEAKY TOY OLD MOBILE PHONE PUT PLASTIC PAST
Seal the bag with the help of a candle or with a thread.,SEAL BAG HELP CANDLE THREAD
Fill a bucket with water and place the bag in the water bucket and squeeze the toy or ring the mobile.,FILL BUCKET WATER PLACE BAG SQUEEZE TOY RING MOBILE
You will hear a low sound.,YOU SOUND HEAR LOW
Now place your ear against the side of the bucket and squeeze the toy or ring the mobile phone again.,NOW PLACE EAR SIDE BUCKET SQUEEZE TOY RING MOBILE PHONE AGAIN PRESENT
"You will hear a louder sound. 5.1.1 Longitudinal Waves Sound waves are longitudinal waves that can travel through any medium (solids, liquids, gases) with a speed that depends on the properties of the medium.",THAT MEDIUM HEAR LOUDER SOUND LONGITUDINAL WAVE TRAVEL SOLIDS LIQUIDS GAS SPEED DEPEND PROPERTIES PRESENT
"As sound travels through a medium, the particles of the medium vibrate along the direction of propagation of the wave.",SOUND TRAVEL MEDIUM PARTICLES VIBRATE DIRECTION PROPAGATION WAVE PRESENT
This displacement involves the longitudinal displacements of the individual molecules from their mean positions.,DISPLACEMENT POSITION INVOLVE LONGITUDINAL DISPLACEMENTS INDIVIDUAL MOLECULES MEAN PRESENT
This results in a series of high and low pressure regions called compressions and rarefactions as shown in figure 5.2.,RESULT SERIES HIGH LOW PRESSURE REGIONS CALL COMPRESSIONS RAREFACTIONS SHOW FIGURE PRESENT PAST
"Figure 5.2 Sound propagates as longitudinal waves 5.1.2 Categories of sound waves based on their frequencies (i) Audible waves – These are sound waves with a frequency ranging between 20 Hz and 20,000 Hz.",FIGURE SOUND PROPAGATE LONGITUDINAL WAVE CATEGORIES BASE FREQUENCIES I AUDIBLE FREQUENCY RANGE HZ PAST
"These are generated by vibrating bodies such as vocal cords, stretched strings etc. (ii) Infrasonic waves – These are sound waves with a frequency below 20 Hz that cannot be heard by the human ear. e.g., waves produced during earth quake, ocean waves, sound produced by whales, etc. (iii) Ultrasonic waves – These are sound waves with a frequency greater than 20 kHz, Human ear cannot detect these waves, but certain creatures like mosquito, dogs, bats, dolphins can detect these waves. e.g., waves produced by bats. 5.1.3 Difference between the sound and light waves S.No.",DOLPHIN WAVE DETECT GENERATE VIBRATE BODY SUCH VOCAL CORD STRETCH STRING II INFRASONIC SOUND FREQUENCY HZ HEAR HUMAN EAR PRODUCE EARTH QUAKE OCEAN WHALE III ULTRASONIC GREATER KHZ CERTAIN CREATURES MOSQUITO DOG BAT DOLPHINS DIFFERENCE LIGHT PAST NOT
SOUND LIGHT 1 Medium is required for the propagation.,MEDIUM PROPAGATION REQUIRE LIGHT PAST
Medium is not required for the propagation. 2 Sound waves are longitudinal.,WAVE PROPAGATION REQUIRE MEDIUM SOUND LONGITUDINAL PAST NOT
Light waves are transverse. 3 Wavelength ranges from 1.65 cm to 1.65 m.,WAVELENGTH M. RANGE LIGHT WAVE TRANSVERSE CM PRESENT
Wavelength ranges from 4 × 10–7 m to 7 × 10–7 m. 4 Sound waves travel in air with a speed of about 340 ms–1 at NTP.,WAVE NTP RANGE WAVELENGTH M SOUND TRAVEL AIR SPEED PRESENT
"Light waves travel in air with a speed of 3 × 108 ms–1. 5.1.4 Velocity of sound waves When you talk about the velocity associated with any wave, there are two velocities, namely particle velocity and wave velocity.",YOU VELOCITY BE LIGHT WAVE TRAVEL AIR SPEED SOUND TALK ASSOCIATE TWO VELOCITIES NAMELY PARTICLE PRESENT PAST
SI unit of velocity is ms-1 10th_Science_Unit-5.indd 60 12/3/2022 2:50:32 PM 61 Acoustics Particle velocity: The velocity with which the particles of the medium vibrate in order to transfer the energy in the form of a wave is called particle velocity.,SI UNIT VELOCITY PM ACOUSTICS PARTICLE PARTICLES MEDIUM VIBRATE ORDER TRANSFER ENERGY FORM WAVE CALL PRESENT PAST
Wave velocity: The velocity with which the wave travels through the medium is called wave velocity.,WAVE MEDIUM CALL VELOCITY TRAVEL PRESENT PAST
"In other words, the distance travelled by a sound wave in unit time is called the velocity of a sound wave. ∴ Velocity = Distance Time taken If the distance travelled by one wave is taken as one wavelength (λ) and, the time taken for this propagation is one time period (T), then, the expression for velocity can be written as ∴ V = λ T (5.1) Therefore, velocity can be defined as the distance travelled per second by a sound wave.",VELOCITY WAVE DEFINE OTHER WORD DISTANCE TRAVEL SOUND UNIT TIME CALL TAKE ONE WAVELENGTH PROPAGATION PERIOD T THEN EXPRESSION WRITE V THEREFORE SECOND PAST
"Since, Frequency (n) =1/T, equation (5.1) can be written as V = nλ (5.2) Velocity of a sound wave is maximum in solids because they are more elastic in nature than liquids and gases.",THEY LIQUID WRITE FREQUENCY N T EQUATION V VELOCITY SOUND WAVE MAXIMUM SOLIDS MORE ELASTIC NATURE LIQUIDS GAS PAST
"Since, gases are least elastic in nature, the velocity of sound is the least in a gaseous medium.",GAS LEAST ELASTIC NATURE VELOCITY SOUND GASEOUS MEDIUM
"So, vS > vL > vG 5.1.5 Factors affecting velocity of sound In the case of solids, the elastic properties and the density of the solids affect the velocity of sound waves.",FACTOR WAVE AFFECT VS VL VG VELOCITY SOUND CASE SOLIDS ELASTIC PROPERTIES DENSITY PRESENT
Elastic property of solids is characterized by their elastic moduli.,PROPERTY MODULUS CHARACTERIZE ELASTIC SOLIDS MODULI PAST
The speed of sound is directly proportional to the square root of the elastic modulus and inversely proportional to the square root of the density.,SPEED SOUND DIRECTLY PROPORTIONAL SQUARE ROOT ELASTIC MODULUS INVERSELY DENSITY
Thus the velocity of sound in solids decreases as the density increases whereas the velocity of sound increases when the elasticity of the material increases.,DENSITY INCREASE DECREASE THUS VELOCITY SOUND SOLIDS ELASTICITY MATERIAL PRESENT
"In the case of gases, the following factors affect the velocity of sound waves.",FACTOR WAVE AFFECT CASE GAS FOLLOW VELOCITY SOUND PRESENT
Effect of density: The velocity of sound in a gas is inversely proportional to the square root of the density of the gas.,EFFECT DENSITY VELOCITY SOUND GAS INVERSELY PROPORTIONAL SQUARE ROOT
"Hence, the velocity decreases as the density of the gas increases. v √ 1 d Effect of temperature: The velocity of sound in a gas is directly proportional to the square root of its temperature.",VELOCITY TEMPERATURE DECREASE HENCE DENSITY GAS INCREASE D EFFECT SOUND DIRECTLY PROPORTIONAL SQUARE ROOT PRESENT
The velocity of sound in a gas increases with the increase in temperature. v ∝ √T.,VELOCITY SOUND GAS INCREASE TEMPERATURE
"Velocity at temperature T is given by the following equation: vT = (vo + 0.61 T) ms–1 Here, vo is the velocity of sound in the gas at 0° C.",VO C. GIVE VELOCITY TEMPERATURE T FOLLOW EQUATION VT HERE SOUND GAS PAST
"For air, vo = 331 ms–1.",AIR VO
"Hence, the velocity of sound changes by 0.61 ms–1 when the temperature changes by one degree celsius.",HENCE VELOCITY SOUND CHANGE TEMPERATURE ONE DEGREE CELSIUS
"Effect of relative humidity: When humidity increases, the speed of sound increases.",EFFECT RELATIVE HUMIDITY INCREASE SPEED SOUND PRESENT
That is why you can hear sound from long distances clearly during rainy seasons.,HEAR SOUND LONG DISTANCE CLEARLY RAINY SEASON
Speed of sound waves in different media are given in table 5.1.,SPEED TABLE GIVE SOUND WAVE DIFFERENT MEDIA PAST
Table 5.1 Speed of sound in different media S.,TABLE SPEED SOUND DIFFERENT MEDIA
No.,NOT
Nature of the medium Name of the Medium Speed of sound (in ms–1) 1 Solid Copper 5010 2 Iron 5950 3 Aluminium 6420 4 Liquid Kerosene 1324 5 Water 1493 6 Sea water 1533 7 Gas Air (at 0o C) 331 8 Air (at 20o C) 343 Example Problem 5.1 1.,NATURE MEDIUM NAME SPEED SOUND SOLID COPPER IRON ALUMINIUM LIQUID KEROSENE WATER SEA GAS AIR C EXAMPLE PROBLEM
At what temperature will the velocity of sound in air be double the velocity of sound in air at 0o C? 10th_Science_Unit-5.indd 61 12/3/2022 2:50:32 PM 62 10th Standard Science Solution: Let To C be the required temperature.,C LET TEMPERATURE VELOCITY SOUND AIR PM STANDARD SCIENCE SOLUTION REQUIRE PAST
Let v1 and v2 be the velocity of sound at temperatures T1K and T2K respectively.,V1 TEMPERATURE LET VELOCITY SOUND TEMPERATURES K RESPECTIVELY
"T1 = 273K (0o C) and T2 = (To C + 273)K v2 v1 T2 T1 273 + T 273 √ √ = = = 2 Here, it is given that, v2 / v1 = 2.",IT THAT GIVE K C T HERE PAST
"So, 273 + T 273 = 4 T = (273 × 4) – 273 = 819o C 5.2 REFLECTION OF SOUND When you speak in an empty room, you hear a soft repetition of your voice.",YOU VOICE HEAR T C REFLECTION SOUND SPEAK EMPTY ROOM SOFT REPETITION PRESENT
This is nothing but the reflection of the sound waves that you produce.,REFLECTION SOUND WAVE PRODUCE PRESENT NOT
Let us discuss about the reflection of sound in detail through the following activity.,WE ACTIVITY LET DISCUSS REFLECTION SOUND DETAIL FOLLOW
"When sound waves travel in a given medium and strike the surface of another medium, they can be bounced back into the first medium.",THEY MEDIUM BOUNCE SOUND WAVE TRAVEL GIVE STRIKE SURFACE BACK FIRST PRESENT PAST
This phenomenon is known as reflection.,PHENOMENON REFLECTION KNOW PAST
In simple the reflection and refraction of sound is actually similar to the reflection of light.,SIMPLE REFLECTION REFRACTION SOUND ACTUALLY SIMILAR LIGHT
"Thus, the bouncing of sound waves from the interface between two media is termed as the reflection of sound.",BOUNCE SOUND TERM THUS WAVE INTERFACE TWO MEDIA REFLECTION PAST
"The waves that strike the interface are termed as the incident wave and the waves that bounce back are termed as the reflected waves, as shown in Figure 5.3 Figure 5.3 Reflection of sound 5.2.1 Laws of reflection Like light waves, sound waves also obey some fundamental laws of reflection.",WAVE REFLECTION TERM STRIKE INTERFACE INCIDENT BOUNCE BACK REFLECT SHOW FIGURE SOUND LAWS LIGHT ALSO OBEY FUNDAMENTAL PRESENT PAST
"The following two laws of reflection are applicable to sound waves as well.  The incident wave, the normal to the reflecting surface and the reflected wave at the point of incidence lie in the same plane.  The angle of incidence ∠i is equal to the angle of reflection ∠r.",FOLLOW TWO LAWS REFLECTION APPLICABLE SOUND WAVE AS WELL INCIDENT NORMAL REFLECT SURFACE POINT INCIDENCE LIE SAME PLANE ANGLE EQUAL PAST
These laws can be observed from Figure 5.4.,LAW FIGURE OBSERVE LAWS PAST
"Figure 5.4 Laws of reflection In the above Figure 5.4, the sound waves that travel towards the reflecting surface are called the incident waves.",THAT SURFACE CALL FIGURE LAWS REFLECTION ABOVE SOUND WAVE TRAVEL REFLECT INCIDENT PRESENT PAST
The sound waves bouncing back from the reflecting surface are called reflected waves.,WAVE SURFACE CALL SOUND BOUNCE BACK REFLECT PAST
"For all practical purposes, the point of incidence and the point of reflection is the same point on the reflecting surface.",PRACTICAL PURPOSE POINT INCIDENCE REFLECTION SAME REFLECT SURFACE
A perpendicular line drawn at the point of incidence is called the normal.,LINE INCIDENCE CALL PERPENDICULAR DRAW POINT NORMAL PAST
"The angle which the incident sound wave makes with the normal is called the angle of incidence, ‘i’.",WAVE INCIDENCE CALL ANGLE INCIDENT SOUND MAKE NORMAL PRESENT PAST
"The angle which the reflected wave makes with the normal is called the angle of reflection, ‘r’. 10th_Science_Unit-5.indd 62 12/3/2022 2:50:32 PM 63 Acoustics Acoustical wonder of Golconda fort (Hyderabad, Telangana) The Clapping portico in Golconda Fort is a series of arches on one side, each smaller than the preceding one.",PORTICO ONE CALL ANGLE REFLECT WAVE MAKE NORMAL REFLECTION R PM ACOUSTICS ACOUSTICAL WONDER GOLCONDA FORT HYDERABAD TELANGANA CLAP SERIES ARCH SIDE SMALLER PRECEDE PAST PRESENT
"So, a sound wave generated under the dome would get compressed and then bounce back amplified sufficiently to reach a considerable distance. 5.2.2 Reflection at the boundary of a denser medium A longitudinal wave travels in a medium in the form of compressions and rarefactions.",WAVE COMPRESSION TRAVEL SOUND GENERATE DOME COMPRESS THEN BOUNCE BACK AMPLIFY SUFFICIENTLY REACH CONSIDERABLE DISTANCE REFLECTION BOUNDARY DENSER MEDIUM LONGITUDINAL FORM COMPRESSIONS RAREFACTIONS PAST PRESENT
Suppose a compression travelling in air from left to right reaches a rigid wall.,COMPRESSION WALL SUPPOSE TRAVEL AIR LEAVE RIGHT REACH RIGID PRESENT
The compression exerts a force F on the rigid wall.,COMPRESSION EXERT FORCE F RIGID WALL PRESENT
"In turn, the wall exerts an equal and opposite reaction R = – F on the air molecules.",WALL MOLECULE EXERT TURN EQUAL OPPOSITE REACTION R F AIR MOLECULES PRESENT
This results in a compression near the rigid wall.,RESULT COMPRESSION RIGID WALL PRESENT
"Thus, a compression travelling towards the rigid wall is reflected back as a compression.",COMPRESSION REFLECT THUS TRAVEL RIGID WALL BACK PAST
That is the direction of compression is reversed (Figure 5.5).,DIRECTION COMPRESSION REVERSE FIGURE PAST
Figure 5.5 Reflection of sound at a denser medium 5.2.3 Reflection at the boundary of a rarer medium Consider a wave travelling in a solid medium striking on the interface between the solid and the air.,FIGURE REFLECTION SOUND DENSER MEDIUM BOUNDARY RARER CONSIDER WAVE TRAVEL SOLID STRIKE INTERFACE AIR
The compression exerts a force F on the surface of the rarer medium.,COMPRESSION EXERT FORCE F SURFACE RARER MEDIUM PRESENT
"As a rarer medium has smaller resistance for any deformation, the surface of separation is pushed backwards (Figure 5.6).",SURFACE SEPARATION PUSH RARER MEDIUM SMALLER RESISTANCE DEFORMATION BACKWARDS FIGURE PRESENT PAST
"As the particles of the rarer medium are free to move, a rarefaction is produced at the interface.",RAREFACTION INTERFACE PRODUCE PARTICLES RARER MEDIUM FREE MOVE PAST
"Thus, a compression is reflected as a rarefaction and a rarefaction travels from right to left. 5.6 Reflection of sound at a rarer medium More to know: What is meant by rarer and denser medium?",WHAT RARER REFLECT THUS COMPRESSION RAREFACTION TRAVEL RIGHT LEAVE REFLECTION SOUND MEDIUM MORE KNOW MEAN DENSER PAST PRESENT
The medium in which the velocity of sound increases compared to other medium is called rarer medium. (Water is rarer compared to air for sound).,MEDIUM VELOCITY SOUND INCREASE COMPARE OTHER CALL RARER WATER AIR PAST
"The medium in which the velocity of sound decreases compared to other medium is called denser medium. (Air is denser compared to water for sound) 5.2.4 Reflection of sound in plane and curved surfaces When sound waves are reflected from a plane surface, the reflected waves travel in a direction, according to the law of reflection.",MEDIUM VELOCITY SOUND DECREASE COMPARE OTHER CALL DENSER AIR WATER REFLECTION PLANE CURVE SURFACE WAVE REFLECT TRAVEL DIRECTION ACCORD LAW PAST PRESENT
The intensity of the reflected wave is neither decreased nor increased.,INTENSITY WAVE DECREASE REFLECT INCREASE PAST
"But, when the sound waves are reflected from the curved surfaces, the intensity of the reflected waves is changed.",INTENSITY WAVE CHANGE SOUND REFLECT CURVE SURFACE PAST
"When reflected from a convex surface, the reflected waves are diverged out and the intensity is decreased.",INTENSITY SURFACE DIVERGE REFLECT CONVEX WAVE DECREASE PAST
"When sound is reflected from a concave surface, the reflected waves are converged and focused at a point.",WAVE POINT CONVERGE SOUND REFLECT CONCAVE SURFACE FOCUS PAST
So the intensity of reflected waves is concentrated at a point.,INTENSITY POINT CONCENTRATE REFLECT WAVE PAST
Parabolic surfaces are used when it is required to focus the sound at a particular point.,IT POINT USE PARABOLIC SURFACE REQUIRE FOCUS SOUND PARTICULAR PAST
"Hence, many halls are designed with parabolic reflecting surfaces.",HALL SURFACE DESIGN HENCE MANY HALLS PARABOLIC REFLECT PAST
"In elliptical surfaces, sound from one focus will always be reflected to the other focus, no matter where it strikes the wall. 10th_Science_Unit-5.indd 63 12/3/2022 2:50:33 PM 64 10th Standard Science This principle is used in designing whispering halls.",PRINCIPLE HALL USE ELLIPTICAL SURFACE SOUND ONE FOCUS ALWAYS REFLECT OTHER NO MATTER STRIKE WALL PM STANDARD SCIENCE DESIGN WHISPER HALLS HABITUAL PAST PRESENT NOT
"In a whispering hall, the speech of a person standing in one focus can be heard clearly by a listener standing at the other focus.",SPEECH FOCUS HEAR WHISPER HALL PERSON STAND ONE CLEARLY LISTENER OTHER PAST
Whispering Gallery One of the famous whispering galleries is in St.,WHISPER GALLERY ONE FAMOUS GALLERIES
Paul’s cathedral church in London.,PAUL CATHEDRAL CHURCH LONDON
It is built with elliptically shaped walls.,IT WALL BUILD ELLIPTICALLY SHAPE PAST
"When a person is talking at one focus, his voice can be heard distinctly at the other focus.",VOICE FOCUS HEAR PERSON TALK ONE DISTINCTLY OTHER PAST
"It is due to the multiple reflections of sound waves from the curved walls. 5.3 ECHOES An echo is the sound reproduced due to the reflection of the original sound from various rigid surfaces such as walls, ceilings, surfaces of mountains, etc.",DUE MULTIPLE REFLECTIONS SOUND WAVE CURVE WALL ECHO REPRODUCE REFLECTION ORIGINAL VARIOUS RIGID SURFACE SUCH CEILINGS MOUNTAINS PAST
"If you shout or clap near a mountain or near a reflecting surface, like a building you can hear the same sound again.",YOU SOUND SHOUT CLAP MOUNTAIN REFLECT SURFACE BUILD HEAR SAME AGAIN PRESENT
"The sound, which you hear is called an echo.",YOU WHICH CALL SOUND HEAR ECHO PRESENT PAST
It is due to the reflection of sound.,DUE REFLECTION SOUND
One does not experience any echo sound in a small room.,ONE ROOM EXPERIENCE ECHO SOUND SMALL NOT
This does not mean that sound is not reflected in a small room.,SOUND ROOM MEAN REFLECT SMALL PAST NOT
This is because smaller rooms do not satisfy the basic conditions for hearing an echo. 5.3.1 Conditions necessary for hearing echo 1.,SMALLER ROOM SATISFY BASIC CONDITION HEAR ECHO NECESSARY NOT
The persistence of hearing for human ears is 0.1 second.,PERSISTENCE HEAR HUMAN EARS SECOND
"This means that you can hear two sound waves clearly, if the time interval between the two sounds is at least 0.1 s.",INTERVAL SOUND MEAN HEAR TWO WAVE CLEARLY TIME LEAST PRESENT
"Thus, the minimum time gap between the original sound and an echo must be 0.1 s. 2.",THUS MINIMUM TIME GAP ORIGINAL SOUND ECHO
"The above criterion can be satisfied only when the distance between the source of sound and the reflecting surface would satisfy the following equation: distance travelled by sound time taken 2d t vt 2 Velocity = v d = = Since, t = 0.1 second, then d v × 0.1 2 v 20 = = Thus the minimum distance required to hear an echo is 1/20th part of the magnitude of the velocity of sound in air.",ABOVE CRITERION SATISFY ONLY DISTANCE SOURCE SOUND REFLECT SURFACE FOLLOW EQUATION TRAVEL TIME TAKE T VELOCITY V D SECOND THEN THUS MINIMUM REQUIRE HEAR ECHO PART MAGNITUDE AIR PAST
"If you consider the velocity of sound as 344 ms–1, the minimum distance required to hear an echo is 17.2 m. 5.3.2 Applications of echo  Some animals communicate with each other over long distances and also locate objects by sending the sound signals and receiving the echo as reflected from the targets.  The principle of echo is used in obstetric ultrasonography, which is used to create real-time visual images of the developing embryo or fetus in the mother’s uterus.",WHICH UTERUS USE CONSIDER VELOCITY SOUND MINIMUM DISTANCE REQUIRE HEAR ECHO APPLICATIONS ANIMALS COMMUNICATE OTHER LONG ALSO LOCATE OBJECT SEND SIGNAL RECEIVE REFLECT TARGET PRINCIPLE OBSTETRIC ULTRASONOGRAPHY CREATE REAL TIME VISUAL IMAGE DEVELOP EMBRYO FETUS FEMALE PARENT PRESENT PAST
"This is a safe testing tool, as it does not use any harmful radiations.  Echo is used to determine the velocity of sound waves in any medium. 5.3.3 Measuring velocity of sound by echo method Apparatus required: A source of sound pulses, a measuring tape, a sound receiver, and a stop watch. 10th_Science_Unit-5.indd 64 12/3/2022 2:50:33 PM 65 Acoustics Procedure: 1.",APPARATUS PULSE REQUIRE SAFE TEST TOOL USE HARMFUL RADIATIONS ECHO DETERMINE VELOCITY SOUND WAVE MEDIUM MEASURE METHOD SOURCE TAPE RECEIVER STOP WATCH PM ACOUSTICS PROCEDURE PAST NOT
Measure the distance ‘d’ between the source of sound pulse and the reflecting surface using the measuring tape. 2.,MEASURE DISTANCE D SOURCE SOUND PULSE REFLECT SURFACE USE TAPE
The receiver is also placed adjacent to the source.,RECEIVER SOURCE PLACE ALSO ADJACENT PAST
A sound pulse is emitted by the source. 3.,PULSE SOURCE EMIT SOUND PAST
The stopwatch is used to note the time interval between the instant at which the sound pulse is sent and the instant at which the echo is received by the receiver.,ECHO RECEIVER USE STOPWATCH NOTE TIME INTERVAL INSTANT SOUND PULSE SEND RECEIVE PAST
Note the time interval as ‘t’. 4.,NOTE TIME INTERVAL T
Repeat the experiment for three or four times.,REPEAT EXPERIMENT THREE FOUR TIME
The average time taken for the given number of pulses is calculated.,TIME PULSE CALCULATE AVERAGE TAKE GIVE NUMBER PAST
Calculation of speed of sound: The sound pulse emitted by the source travels a total distance of 2d while travelling from the source to the wall and then back to the receiver.,PULSE RECEIVER TRAVEL CALCULATION SPEED SOUND EMIT SOURCE TOTAL DISTANCE WALL THEN BACK PAST PRESENT
The time taken for this has been observed to be ‘t’.,TIME THIS OBSERVE TAKE T PAST
